"ItemCode","RowId","WarehouseCode","InfoCode3","InfoCode5","Length","Width","Height","Unit","BarCodeTP","RowId_WO","BizDocId_WO","DocNo_WO","ItemName","InfoName","InfoName3","InfoName5","IFDName","LocationCode","InfoCode","ReceiptQuantity","ReceiptQuantity9","DeliveryQuantity","DeliveryQuantity9","CloseInventory","CloseInventory9","Color","Id","ParentId","IsGroup","Remark","Remark1","ClassCode","TimeSheet","TimeCount","ReceiptDate","DeliveryDate","ReceiptDate1","DeliveryDate1","ReceiptNo","DeliveryNo","Level","_GroupOrder","_FormatStyleKey"
FB00001,A0200003706333PX,TP20,SPM066,DCM15,1990.00,2060.00,830.00,tấm,"1800001200001458933003",A0200001458933WO,A0200000401865WO,WB2604-0029,CAM45-30N ĐEN,CAM45-30NH40,CAM45-30N,H40,"",M7,CAM45-30NH40,3.4025,1.0000,3.4025,1.0000,0.0000,0.00,"",79027,79023,0,ASHT-884.R0--Mousse tấm,"","",0.00,1704.00,2026-04-22 14:53:20.527,2026-07-02 14:37:44.410,2026-05-31 00:00:00.000,2026-06-26 00:00:00.000,TONKHO,XB0055.06/26,0,"",""
FB00002,A0200003709841PX,TP20,SPM061,DCM07,1550.00,2070.00,700.00,tấm,"1800002200001445672001",A0200001445672WO,A0200000396758WO,WB2602-0010,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.2460,1.0000,2.2460,1.0000,0.0000,0.00,"",79028,79023,0,LEM MÀU/LEM MÀU,"","",0.00,3791.00,2026-02-09 16:07:35.910,2026-07-17 15:01:50.413,2026-05-31 00:00:00.000,2026-07-17 00:00:00.000,TONKHO,XB0037.07/26,0,"",""
FB00002,A0200003708424PX,TP20,SPM061,DCM07,2080.00,2060.00,800.00,tấm,"1800002200001457692001",A0200001457692WO,A0200000401440WO,WB2604-0017,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4278,1.0000,3.4278,1.0000,0.0000,0.00,"",79028,79023,0,MINH HẠO-MH-1-1-4-26-Memory,"","",0.00,2115.00,2026-04-14 10:34:33.327,2026-07-11 13:55:40.720,2026-05-31 00:00:00.000,2026-07-10 00:00:00.000,TONKHO,XB0025.07/26,0,"",""
FB00002,A0200003708425PX,TP20,SPM061,DCM07,1990.00,2060.00,800.00,tấm,"1800002200001458935001",A0200001458935WO,A0200000401865WO,WB2604-0029,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.2795,1.0000,3.2795,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-882.R0--Mousse tấm/Tưa k xài đc,"","",0.00,1919.00,2026-04-22 14:53:20.610,2026-07-11 13:55:40.777,2026-05-31 00:00:00.000,2026-07-10 00:00:00.000,TONKHO,XB0025.07/26,0,"",""
FB00002,A0200003706334PX,TP20,SPM061,DCM07,1560.00,2060.00,830.00,tấm,"1800002200001458938002",A0200001458938WO,A0200000401865WO,WB2604-0029,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.6673,1.0000,2.6673,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-882.R0--Mousse tấm,"","",0.00,1704.00,2026-04-22 14:53:20.763,2026-07-02 14:37:45.683,2026-05-31 00:00:00.000,2026-06-26 00:00:00.000,TONKHO,XB0055.06/26,0,"",""
FB00002,A0200003705363PX,TP20,SPM061,DCM07,1950.00,2060.00,820.00,tấm,"1800002200001465593001",A0200001465593WO,A0200000404049WO,WB2605-0034,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.2939,1.0000,3.2939,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-886.R0--Mousse tấm,"","",0.00,811.00,2026-05-27 15:58:11.353,2026-06-30 10:19:06.380,2026-05-31 00:00:00.000,2026-06-30 00:00:00.000,TONKHO,XB0063.06/26,0,"",""
FB00002,A0200003705364PX,TP20,SPM061,DCM07,1950.00,2060.00,820.00,tấm,"1800002200001465593002",A0200001465593WO,A0200000404049WO,WB2605-0034,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.2939,1.0000,3.2939,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-886.R0--Mousse tấm,"","",0.00,811.00,2026-05-27 15:58:11.337,2026-06-30 10:19:06.387,2026-05-31 00:00:00.000,2026-06-30 00:00:00.000,TONKHO,XB0063.06/26,0,"",""
FB00002,A0200003704457PX,TP20,SPM061,DCM07,2110.00,2060.00,780.00,tấm,"1800002200001465594001",A0200001465594WO,A0200000404049WO,WB2605-0034,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.3903,1.0000,3.3904,1.0000,-0.0001,0.00,"",79028,79023,0,Minh Hạo,"","",0.00,739.00,2026-05-27 15:58:11.287,2026-06-27 10:26:37.453,2026-05-31 00:00:00.000,2026-06-27 00:00:00.000,TONKHO,XB0058.06/26,0,"",""
FB00002,A0200003704456PX,TP20,SPM061,DCM07,2090.00,2060.00,760.00,tấm,"1800002200001465594002",A0200001465594WO,A0200000404049WO,WB2605-0034,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.2721,1.0000,3.2721,1.0000,0.0000,0.00,"",79028,79023,0,Minh Hạo,"","",0.00,739.00,2026-05-27 15:58:11.267,2026-06-27 10:26:37.443,2026-05-31 00:00:00.000,2026-06-27 00:00:00.000,TONKHO,XB0058.06/26,0,"",""
FB00002,A0200003709680PX,TP20,SPM061,DCM07,800.00,2060.00,620.00,tấm,"1800002200001466182001",A0200001466182WO,A0200000404285WO,WB2605-0038,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,1.0218,1.0000,1.0218,1.0000,0.0000,0.00,"",79028,79023,0,"","","",0.00,1148.00,2026-05-30 14:13:14.537,2026-07-17 10:17:28.503,2026-05-31 00:00:00.000,2026-07-17 00:00:00.000,TONKHO,XB0037.07/26,0,"",""
FB00002,A0200003709839PX,TP20,SPM061,DCM07,1580.00,2060.00,760.00,tấm,"1800002200001466183001",A0200001466183WO,A0200000404285WO,WB2605-0038,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.4736,1.0000,2.4737,1.0000,-0.0001,0.00,"",79028,79023,0,"","","",0.00,1152.00,2026-05-30 14:13:14.473,2026-07-17 14:59:43.940,2026-05-31 00:00:00.000,2026-07-17 00:00:00.000,TONKHO,XB0037.07/26,0,"",""
FB00002,A0200003709010PX,TP20,SPM061,DCM07,1570.00,2060.00,600.00,tấm,"1800002200001466183002",A0200001466183WO,A0200000404285WO,WB2605-0038,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,1.9405,1.0000,1.9405,1.0000,0.0000,0.00,"",79028,79023,0,"","","",0.00,1081.00,2026-05-30 14:13:14.490,2026-07-14 15:34:04.290,2026-05-31 00:00:00.000,2026-07-14 00:00:00.000,TONKHO,XB0029.07/26,0,"",""
FB00002,A0200003704055PX,TP20,SPM061,DCM07,1950.00,2060.00,830.00,tấm,"1800002200001468132001",A0200001468132WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.3340,1.0000,3.3340,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,293.00,2026-06-13 09:01:17.343,2026-06-25 14:24:56.633,2026-06-13 00:00:00.000,2026-06-25 00:00:00.000,KK0009.06/26,XB0053.06/26,0,"",""
FB00002,A0200003701493PX,TP20,SPM061,DCM07,1960.00,2060.00,860.00,tấm,"1800002200001468132002",A0200001468132WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4720,1.0000,3.4720,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,72.00,2026-06-13 09:01:17.360,2026-06-16 09:01:44.220,2026-06-13 00:00:00.000,2026-06-16 00:00:00.000,KK0009.06/26,XB0034.06/26,0,"",""
FB00002,A0200003705365PX,TP20,SPM061,DCM07,1970.00,2060.00,830.00,tấm,"1800002200001468132003",A0200001468132WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.3680,1.0000,3.3680,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,409.00,2026-06-13 09:01:17.330,2026-06-30 10:19:06.397,2026-06-13 00:00:00.000,2026-06-30 00:00:00.000,KK0009.06/26,XB0063.06/26,0,"",""
FB00002,A0200003701494PX,TP20,SPM061,DCM07,1920.00,2060.00,860.00,tấm,"1800002200001468132004",A0200001468132WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4010,1.0000,3.4010,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,72.00,2026-06-13 09:01:17.373,2026-06-16 09:01:44.230,2026-06-13 00:00:00.000,2026-06-16 00:00:00.000,KK0009.06/26,XB0034.06/26,0,"",""
FB00002,A0200003705361PX,TP20,SPM061,DCM07,1360.00,2060.00,860.00,tấm,"1800002200001468133001",A0200001468133WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.4090,1.0000,2.4090,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,409.00,2026-06-13 09:01:17.423,2026-06-30 10:19:06.330,2026-06-13 00:00:00.000,2026-06-30 00:00:00.000,KK0009.06/26,XB0063.06/26,0,"",""
FB00002,A0200003705360PX,TP20,SPM061,DCM07,1360.00,2060.00,860.00,tấm,"1800002200001468133002",A0200001468133WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.4090,1.0000,2.4090,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,409.00,2026-06-13 09:01:17.407,2026-06-30 10:19:06.310,2026-06-13 00:00:00.000,2026-06-30 00:00:00.000,KK0009.06/26,XB0063.06/26,0,"",""
FB00002,A0200003705359PX,TP20,SPM061,DCM07,1350.00,2060.00,870.00,tấm,"1800002200001468133003",A0200001468133WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.4190,1.0000,2.4190,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,409.00,2026-06-13 09:01:17.390,2026-06-30 10:19:05.043,2026-06-13 00:00:00.000,2026-06-30 00:00:00.000,KK0009.06/26,XB0063.06/26,0,"",""
FB00002,A0200003705362PX,TP20,SPM061,DCM07,1370.00,2060.00,880.00,tấm,"1800002200001468133004",A0200001468133WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.4840,1.0000,2.4840,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-887.R0--Mousse tấm,"",SX THEO DON HANG,0.00,409.00,2026-06-13 09:01:17.440,2026-06-30 10:19:06.340,2026-06-13 00:00:00.000,2026-06-30 00:00:00.000,KK0009.06/26,XB0063.06/26,0,"",""
FB00002,A0200003701282PX,TP20,SPM061,DCM07,1950.00,2060.00,870.00,tấm,"1800002200001468134001",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4950,1.0000,3.4950,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.527,2026-06-15 08:47:04.977,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003701280PX,TP20,SPM061,DCM07,1950.00,2060.00,870.00,tấm,"1800002200001468134002",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4950,1.0000,3.4950,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.493,2026-06-15 08:47:04.947,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
